doy_loc	ChmTair_C_Avg	ChmTair_C_Std	soil_moist_Avg	soil_moist_Std	soil_temp_C_Avg	soil_temp_C_Std	sample	comment
97.299	8.750	0.018	0.203	0	11.790	0.149	blank	overnight
97.382	11.290	0.011	0.204	0.001	12.840	0.080	ch1	rep
97.387	11.570	0.017	0.204	0.001	12.840	0.080	ch2	rep
97.392	11.810	0.012	0.204	0.001	12.840	0.080	ch3	rep
97.465	14.790	0.028	0.202	0.002	14.210	0.201	ch1	reg
97.470	15.430	0.01	0.202	0.002	14.210	0.201	root	r1
97.474	15.240	0.003	0.202	0.002	14.210	0.201	root	r1rep
97.478	15.490	0.01	0.202	0.002	14.210	0.201	blank	FEP+silicon
97.549	17.250	0.007	0.202	0.001	15.870	0.138	ch1	reg
97.553	17.920	0.019	0.202	0.001	15.870	0.138	blank	FEP+silicon
97.558	17.490	0.022	0.202	0.001	15.870	0.138	root	r2
97.632	21.520	0.055	0.199	0.001	17.250	0.053	ch1	reg
97.637	21.630	0.011	0.199	0.001	17.250	0.053	blank	FEP, shaded
97.643	27.440	0.066	0.199	0.001	17.250	0.053	blank	FEP, unshaded
97.715	19.840	0.057	0.196	0.001	17.300	0.014	ch1	reg
97.720	19.470	0.022	0.196	0.001	17.300	0.014	blank	FEP+silicon
97.725	19.110	0.019	0.196	0.001	17.300	0.014	root	r3
97.799	16.580	0.021	0.195	0.001	16.630	0.097	ch1	reg
97.803	16.420	0.012	0.195	0.001	16.630	0.097	blank	FEP+silicon
97.809	16.060	0.02	0.195	0.001	16.630	0.097	root	r4
97.882	12.760	0.01	0.191	0.002	15.040	0.165	ch1	reg
97.965	11.530	0.011	0.191	0.002	14.240	0.091	ch1	reg
98.049	12.090	0.01	0.191	0.001	14.160	0.093	ch1	reg
98.132	14.250	0.001	0.239	0.001	14.770	0.094	ch1	reg
98.465	16.840	0.011	0.25	0.001	16.390	0.099	ch1	reg
98.549	16.260	0.01	0.246	0.002	16.530	0.072	ch1	reg
98.632	21.010	0.029	0.241	0.001	18.180	0.163	ch1	reg
98.715	20.330	0.053	0.235	0.001	18.410	0.068	ch1	reg
98.799	15.530	0.009	0.227	0.002	16.330	0.202	ch1	reg
98.882	9.660	0.029	0.223	0.002	13.460	0.111	ch1	reg
98.965	8.520	0.026	0.218	0.002	12.330	0.070	ch1	reg
99.049	7.112	0.019	0.216	0.001	11.230	0.155	ch1	reg
99.132	4.828	0.033	0.214	0.001	9.660	0.062	ch1	reg
99.215	4.338	0.037	0.212	0.001	9.010	0.041	ch1	reg
99.299	4.209	0.035	0.21	0	8.780	0.112	ch1	reg
99.382	9.700	0.016	0.211	0.001	10.580	0.320	ch1	reg
99.385	NaN	NaN	NaN	NaN	NaN	NaN	soil	bad
99.385	NaN	NaN	NaN	NaN	NaN	NaN	soil	bad
99.390	10.790	0.021	0.211	0.001	10.580	0.320	soil	s1
99.394	11.480	0.025	0.211	0.001	10.580	0.320	blank	not noted
99.465	17.790	0.026	0.209	0.001	15.360	0.212	ch1	reg
99.470	19.340	0.056	0.209	0.001	15.360	0.212	blank	shaded
99.478	25.410	0.22	0.209	0.001	15.360	0.212	leaf	don't trust
99.549	23.840	0.154	0.207	0.002	18.490	0.101	ch1	reg
99.555	32.130	0.212	0.207	0.002	18.490	0.101	blank	unshaded
99.561	33.780	0.134	0.207	0.002	18.490	0.101	leaf	don't trust
99.632	26.200	0.104	0.202	0.002	18.120	0.098	ch1	reg
99.638	26.030	0.018	0.202	0.002	18.120	0.098	blank	seal not optimal
99.643	24.940	0.16	0.202	0.002	18.120	0.098	soil	s2 (prob bad seal)
99.715	22.620	0.07	0.199	0.001	18.220	0.145	ch1	reg
99.721	22.350	0.079	0.199	0.001	18.220	0.145	blank	not noted
99.723	NaN	NaN	NaN	NaN	NaN	NaN	soil	bad
99.728	20.710	0.109	0.199	0.001	18.220	0.145	soil	s3
99.799	16.610	0.02	0.194	0.001	16.660	0.103	ch1	reg
99.804	16.340	0.02	0.194	0.001	16.660	0.103	soil	s4
99.810	15.710	0.032	0.194	0.001	16.660	0.103	root	r5
99.882	11.990	0.01	0.193	0.001	14.550	0.089	ch1	reg
99.888	12.280	0.037	0.193	0.001	14.550	0.089	soil	s5
99.894	11.990	0.01	0.193	0.001	14.550	0.089	root	r6
99.965	10.580	0.021	0.192	0.002	13.480	0.063	ch1	reg
100.049	9.010	0.032	0.191	0.002	12.390	0.026	ch1	reg
100.132	9.100	0.021	0.189	0.001	11.980	0.041	ch1	reg
100.215	8.300	0.039	0.186	0.001	11.320	0.205	ch1	reg
100.299	8.440	0.015	0.186	0.001	11.530	0.054	ch1	reg
100.382	14.350	0.005	0.188	0.001	13.900	0.294	ch1	rep
100.387	14.860	0.01	0.188	0.001	13.900	0.294	ch2	rep
100.392	15.240	0.013	0.188	0.001	13.900	0.294	ch3	rep
100.465	22.490	0.013	0.191	0.001	17.680	0.358	ch1	rep
100.470	25.010	0.043	0.191	0.001	17.680	0.358	ch2	rep
100.475	26.220	0.011	0.191	0.001	17.680	0.358	ch3	rep
100.548	27.590	0.054	0.19	0.002	21.110	0.044	ch1	rep
100.549	NaN	NaN	NaN	NaN	NaN	NaN	ch1	bad
100.554	31.000	0.032	0.19	0.002	21.110	0.044	ch2	rep
100.560	31.850	0.01	0.19	0.002	21.110	0.044	ch3	rep
100.632	27.990	0.074	0.187	0.001	21.390	0.157	ch1	rep
100.638	31.580	0.063	0.187	0.001	21.390	0.157	ch2	rep
100.644	34.300	0.136	0.187	0.001	21.390	0.157	ch3	rep
100.715	22.430	0.033	0.185	0.002	20.140	0.164	ch1	rep
100.722	23.030	0.01	0.185	0.002	20.140	0.164	ch2	rep
100.726	22.410	0.013	0.185	0.002	20.140	0.164	ch3	rep
101.799	18.790	0.019	0.174	0	17.980	0.036	ch1	reg
101.882	15.640	0.003	0.172	0.001	16.580	0.097	ch1	reg
101.965	14.950	0.001	0.171	0.002	15.820	0.071	ch1	reg
102.049	14.460	0	0.171	0.001	15.250	0.092	ch1	reg
102.132	11.610	0.011	0.192	0.002	13.790	0.024	ch1	reg
102.215	11.160	0.003	0.194	0.001	12.870	0.096	ch1	reg
102.299	10.220	0.018	0.307	0.003	12.370	0.046	ch1	reg
102.382	11.530	0.012	0.298	0.001	12.820	0.088	ch1	reg
102.465	14.090	0.025	0.288	0.002	13.890	0.100	ch1	reg
102.549	17.130	0.034	0.276	0.002	16.010	0.081	ch1	reg
102.632	17.770	0.019	0.264	0.002	16.420	0.117	ch1	reg
102.715	16.520	0.019	0.252	0.002	16.230	0.069	ch1	reg
102.799	15.380	0.012	0.243	0.002	15.460	0.049	ch1	reg
102.882	14.300	0.004	0.238	0.002	14.700	0.035	ch1	reg
102.965	13.540	0.009	0.233	0.001	14.190	0.108	ch1	reg
